patent_number
34395
325689
333499
341131
406117
416550
417864
419185
426206
432244
434153
436920
436924
439851
444793
455128
455638
456509
461895
465585
467554
467878
468433
471281
472673
488159
490378
493232
500743
502184
502993
504403
504667
507245
507379
508680
509776
509900
513572
516221
524541
526252
538432
540149
544299
555242
556012
559197
560032
563047
568251
574834
575288
575801
576245
582429
583875
591898
592610
595857
597037
597673
605763
605764
608444
608887
611145
611225
612045
612052
616091
616983
620402
621048
621942
625005
625815
625816
625818
626620
627033
628700
629398
630754
630755
631550
632395
632753
634431
637484
638946
641471
643118
647206
647398
649248
651682
656617
657873
659197
659836
663425
663834
666973
667794
668738
668739
669188
672748
676135
680082
681811
683418
683778
684948
685392
688808
691237
693423
695213
695715
696198
696299
698000
698030
698888
699343
701958
705428
706931
706932
707638
708151
708437
709463
710496
710497
710995
715224
715927
715928
716905
717007
719512
720446
720471
720849
721059
721061
721184
721337
721352
726311
726385
731054
731652
731654
732242
732642
733241
734455
735342
738450
740251
740381
741015
744826
745845
746258
746457
746795
747929
748574
750183
750787
751032
751718
754685
754751
757499
759629
760167
760761
761288
767764
768031
768602
769276
769908
770001
770853
771863
773241
773514
773515
776769
777749
778296
778932
778933
779523
779524
780205
780213
781914
783361
783362
785023
787527
788034
789990
789991
792420
792437
794019
794665
795698
796447
799532
801988
803233
806678
810121
810122
810123
810124
814463
815062
816703
821441
836655
841023
841025
841026
841039
841819
844633
847154
847155
847168
849781
849782
849783
849784
853437
854045
860229
865780
883793
925181
1180970
1519992
2005787
2367733
2376418
2629835
3855841
3990872
4037322
4134680
4227762
4586136
4716978
4828056
4882678
4887606
4905372
4917488
4930535
4941038
4957629
4985467
4992410
4997694
5015373
5019951
5038773
5041018
5069694
5079352
5083456
5084061
5108597
5109241
5120435
5128984
5129149
5141634
5154720
5167069
5170182
5185440
5190548
5205929
5207943
5212546
5224947
5229265
5230242
5239773
5248454
5254262
5257996
5258028
5259385
5259386
5260614
5260878
5262375
5268289
5271833
5275616
5276490
5278423
5278599
5283041
5305636
5311871
5312401
5319713
5321490
5332590
5333201
5335040
5336263
5343311
5346619
5363852
5366457
5369974
5378883
5379636
5380267
5383896
5387603
5391169
5391170
5394576
5398107
5398354
5406202
5406260
5413264
5415311
5423934
5424539
5424754
5432344
5433909
5435958
5436149
5442429
5450864
5451388
5451780
5453576
5459055
5459560
5463467
5464398
5467446
5467635
5468743
5468947
5470026
5470334
5472441
5473536
5474824
5479666
5482050
5483709
5484416
5486161
5490046
5493199
5500370
5500402
5501617
5503331
5505206
5505769
5505947
5506946
5508171
5510266
5513942
5514253
5514551
5517334
5518528
5519914
5520693
5523076
5523589
5524636
5527329
5528490
5536267
5537516
5540232
5540834
5543940
5546188
5548201
5551301
5552599
5553200
5554519
5555466
5555578
5556771
5556772
5557423
5558083
5560444
5560577
5561412
5561707
5562672
5563689
5565960
5567740
5571182
5573496
5575403
5576515
5577190
5578283
5580755
5582379
5582823
5583623
5585587
5585648
5586346
5586802
5590173
5590659
5591205
5595182
5596416
5598007
5598144
5600784
5601082
5601435
5601602
5602884
5605664
5606971
5609824
5610073
5612188
5612200
5614319
5614387
5614416
5614425
5615093
5615314
5615403
5618711
5619624
5623736
5625185
5625712
5626601
5627075
5627360
5628427
5628788
5628961
5630238
5630986
5631539
5632410
5634225
5635517
5638452
5639261
5639650
5640228
5643545
5643576
5645561
5645599
5647079
5647851
5650450
5653949
5655258
5655677
5656207
5656423
5656744
5658251
5658451
5658737
5661563
5662976
5663044
5663378
5666436
5666682
5667863
5668320
5671875
5672173
5672174
5673989
5675515
5677124
5678778
5679470
5680857
5681347
5682631
5683384
5684863
5685989
5686161
5687722
5688269
5689090
5691336
5692256
5692511
5693468
5693931
5694082
5696251
5696435
5699038
5700167
5700240
5700655
5702955
5703777
5704965
5704967
5706973
5709703
5712092
5714320
5714931
5715548
5715827
5715934
5716375
5716851
5716981
5717313
5720078
5720924
5722412
5723597
5724128
5724177
5724605
5724685
5725376
5725498
5726535
5727119
5728143
5728159
5729865
5731645
5732693
5733286
5733673
5733787
5733873
5735158
5735360
5735593
5737839
5737902
5738244
5742002
5743566
5745657
5745937
5746521
5746937
5747392
5750405
5750497
5752504
5752914
5753197
5755007
5755547
5756011
5756709
5757472
5758374
5759160
5760913
5761649
5763476
5763829
5763867
5764681
5765457
5765836
5765985
5766627
5767591
5767860
5767972
5769267
5769653
5769841
5769870
5771295
5771511
5772874
5773159
5773301
5774789
5774914
5775762
5777561
5778395
5781949
5782769
5782827
5782833
5784164
5785663
5787485
5789224
5789253
5789379
5790397
5790997
5791339
5792135
5792462
5793337
5793491
5793967
5794246
5795469
5795588
5795782
5796359
5797154
5797215
5797856
5797900
5798513
5799232
5800511
5803394
5805474
5807016
5807358
5810199
5810272
5810408
5810575
5810731
5811407
5811706
5811777
5813824
5814742
5814768
5815551
5815648
5816337
5817024
5818027
5818199
5818630
5818645
5820693
5821856
5823254
5823689
5824050
5825045
5827276
5827430
5827656
5828052
5828318
5828380
5828445
5828558
5828734
5830182
5830336
5831404
5831530
5832448
5832606
5833633
5834254
5835788
5836559
5836704
5836710
5836893
5837027
5838223
5840068
5840873
5841523
5841648
5842709
5843032
5843244
5844222
5845235
5846068
5847386
5849546
5850019
5850181
5850453
5851270
5851481
5853416
5854021
5854074
5855560
5855576
5856173
5857461
5857585
5857797
5857974
5858068
5858316
5858667
5859711
5859963
5860934
5861024
5861033
5861950
5862549
5863290
5863800
5864485
5865168
5865469
5865724
5865736
5866210
5867179
5867875
5868740
5868778
5870315
5871330
5871347
5871388
5871486
5873990
5874052
5874053
5874259
5875921
5876344
5876379
5876922
5877486
5877863
5878089
5878452
5880283
5881723
5883758
5884623
5884661
5885023
5885110
5885214
5886466
5886857
5888464
5889174
5889585
5890106
5890125
5891411
5891467
5892160
5892528
5892924
5892971
5893363
5893858
5893956
5894965
5895636
5896190
5896523
5896627
5897395
5897587
5898014
5898290
