rf_id,convey_ty,employer_assign
109690375,assignment,0
109890978,assignment,0
109970208,assignment,0
110000621,assignment,0
110190245,assignment,0
110270809,assignment,0
110300475,assignment,0
110310205,assignment,0
110420548,assignment,0
110470499,assignment,0
110630529,assignment,0
110640181,assignment,0
110640533,assignment,0
110640544,assignment,0
110770085,assignment,0
110770609,assignment,0
110790969,assignment,0
110940914,assignment,0
111020413,assignment,0
111060385,assignment,0
111070439,assignment,0
111070665,assignment,0
111070689,assignment,0
111210138,assignment,0
111390724,assignment,0
111390978,assignment,0
111710473,assignment,0
111760631,assignment,0
111950138,assignment,0
111970001,assignment,0
111990280,assignment,0
112030851,assignment,0
112040015,assignment,0
112110379,assignment,0
112120022,assignment,0
112240796,assignment,0
112270328,assignment,0
112310743,assignment,0
112310748,assignment,0
112600378,assignment,0
112690030,assignment,0
112700584,assignment,0
112860262,assignment,0
112870746,assignment,0
112870768,assignment,0
112950176,assignment,0
112950848,assignment,0
112960211,assignment,0
112960222,assignment,0
112960233,assignment,0
112960251,assignment,0
113230140,assignment,0
113250115,assignment,0
113470035,assignment,0
113490797,assignment,0
113490834,assignment,0
113500017,assignment,0
113500057,assignment,0
113550021,assignment,0
113550033,assignment,0
113600454,assignment,0
113630227,assignment,0
113790212,assignment,0
113880723,assignment,0
113980803,assignment,0
114190880,assignment,0
114330832,assignment,0
114380487,assignment,0
114420229,assignment,0
114420232,assignment,0
114420560,assignment,0
114440622,assignment,0
114500783,assignment,0
114530094,assignment,0
114560647,assignment,0
114670808,assignment,0
114800041,assignment,0
114850107,assignment,0
114850693,assignment,0
115060163,assignment,0
115110352,assignment,0
115110492,assignment,0
115110873,assignment,0
115300083,assignment,0
115330879,assignment,0
115410810,assignment,0
115530080,assignment,0
115610129,assignment,0
115750674,assignment,0
115760719,assignment,0
116000050,assignment,0
116180941,assignment,0
116410740,assignment,0
116570209,assignment,0
116590327,assignment,0
116670559,assignment,0
116720603,assignment,0
116820736,assignment,0
116900571,assignment,0
116940970,assignment,0
116960391,assignment,0
116970030,assignment,0
117000417,assignment,0
117000422,assignment,0
117000947,assignment,0
117040087,assignment,0
117110212,assignment,0
117120243,assignment,0
117180914,assignment,0
117200370,assignment,0
117270967,assignment,0
117420703,assignment,0
117420844,assignment,0
117420974,assignment,0
117440724,assignment,0
117480042,assignment,0
117510755,assignment,0
117640401,assignment,0
117700476,assignment,0
117750390,assignment,0
117950520,assignment,0
117960440,assignment,0
117960720,assignment,0
118030868,assignment,0
118440993,assignment,0
118460807,assignment,0
118460846,assignment,0
118540181,assignment,0
118540348,assignment,0
118550054,assignment,0
118550475,assignment,0
118730008,assignment,0
119100044,assignment,0
119340459,assignment,0
119630336,assignment,0
119740433,assignment,0
119740801,assignment,0
119790681,assignment,0
119840091,assignment,0
119970856,assignment,0
119970866,assignment,0
120000141,assignment,0
120020961,assignment,0
120030279,assignment,0
120050733,assignment,0
120130913,assignment,0
120240460,assignment,0
120520916,assignment,0
120820169,assignment,0
121240567,assignment,0
121260054,assignment,0
121730079,assignment,0
121770344,assignment,0
121790562,assignment,0
121840251,assignment,0
121840293,assignment,0
121920131,assignment,0
121970570,assignment,0
122170147,assignment,0
122170150,assignment,0
122170585,assignment,0
122170844,assignment,0
122190415,assignment,0
122220340,assignment,0
122220777,assignment,0
122420890,assignment,0
122420918,assignment,0
122630572,assignment,0
122710649,assignment,0
122780600,assignment,0
122800579,assignment,0
122870016,assignment,0
122970723,assignment,0
122980950,assignment,0
123000262,assignment,0
123040112,assignment,0
123110459,assignment,0
123190782,assignment,0
123220831,assignment,0
123330325,assignment,0
123430869,assignment,0
123470539,assignment,0
123500224,assignment,0
123560829,assignment,0
123630826,assignment,0
123650425,assignment,0
123680551,assignment,0
123960656,assignment,0
124280142,assignment,0
124320830,assignment,0
124330629,assignment,0
124330632,assignment,0
124330638,assignment,0
124330827,assignment,0
124390531,assignment,0
124770257,assignment,0
124820706,assignment,0
124840715,assignment,0
125060074,assignment,0
125130600,assignment,0
125160225,assignment,0
125200423,assignment,0
125470587,assignment,0
125520879,assignment,0
125860290,assignment,0
125970308,assignment,0
125990395,assignment,0
125990412,assignment,0
126030016,assignment,0
126070778,assignment,0
126250161,assignment,0
126250398,assignment,0
126300413,assignment,0
126340177,assignment,0
126410402,assignment,0
126410857,assignment,0
126450695,assignment,0
126550599,assignment,0
126870715,assignment,0
126870749,assignment,0
126910572,assignment,0
126950385,assignment,0
127020533,assignment,0
127030217,assignment,0
127070562,assignment,0
127240038,assignment,0
127450484,assignment,0
127540365,assignment,0
127540770,assignment,0
127720700,assignment,0
127740256,assignment,0
127850119,assignment,0
127850509,assignment,0
127950541,assignment,0
127950566,assignment,0
128020727,assignment,0
128090370,assignment,0
128180057,assignment,0
128410471,assignment,0
128430072,assignment,0
128520016,assignment,0
128520225,assignment,0
128530749,assignment,0
128600858,assignment,0
128750313,assignment,0
128750321,assignment,0
128750452,assignment,0
128750456,assignment,0
128880146,assignment,0
128950045,assignment,0
129010818,assignment,0
